컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
성북구-정릉천-1,정릉천,1.13E+18,서울특별시 성북구 하월곡동 67-102,,서울특별시 성북구 화랑로 47,127.0377222,37.60233333,공원명,,,,,,,,,,,,,,,,,,,
마포구-두리어린이공원-1,두리어린이공원,1.14E+18,서울특별시 마포구 망원동 498,,서울특별시 마포구 월드컵로31길 77,126.9010278,37.56022222,공원명,,,,,,,,,,,,,,,,,,,
동작구-노량진근린공원-11,노량진근린공원,,서울특별시 동작구 대방동 350-5,,서울특별시 동작구 여의대방로36길 71,126.9279444,37.50697222,공원명,,,,,,,,,,,,,,,,,,,
동작구-노량진근린공원-10,노량진근린공원,,서울특별시 동작구 대방동 350-5,,서울특별시 동작구 여의대방로36길 71,126.9281791,37.50668702,공원명,,,,,,,,,,,,,,,,,,,
서초구-반포배수지몽마르뜨공원-1,반포배수지몽마르뜨공원,,서울특별시 서초구 반포동 산 59-1,,,127.0035556,37.49602778,공원명,,,,,,,,,,,,,,,,,,,
동대문구-새움어린이공원-1,새움어린이공원,1.12E+18,서울특별시 동대문구 답십리동 1009-1,,서울특별시 동대문구 천호대로 231,127.0485292,37.57067261,공원명,,,,,,,,,,,,,,,,,,,
중부녹지-간데메공원-2,간데메공원,,서울특별시 동대문구 전농동 647-49,,서울특별시 동대문구 답십리로30길 36,127.0482222,37.57358333,공원명,,,,,,,,,,,,,,,,,,,
성북구-일신어린이공원-1,일신어린이공원,1.13E+18,서울특별시 성북구 종암동 134-8,,서울특별시 성북구 월곡로11길 5-4,127.0396365,37.59996019,공원명,,,,,,,,,,,,,,,,,,,
은평구-역말어린이공원-1,역말어린이공원,1.14E+18,서울특별시 은평구 역촌동 46-5,,서울특별시 은평구 갈현로14길 29-1,126.9140278,37.60694444,공원명,,,,,,,,,,,,,,,,,,,
은평구-연신 어린이공원-1,연신 어린이공원,,서울특별시 은평구 불광동 339-12,,서울특별시 은평구 연서로32길 11-14,126.9250278,37.61963889,공원명,,,,,,,,,,,,,,,,,,,
강남구-논현목련(어린이공원)-1,논현목련(어린이공원),1.17E+18,서울특별시 강남구 논현동 137-18,,서울특별시 강남구 강남대로124길 65,127.0268919,37.51086314,공원명,,,,,,,,,,,,,,,,,,,
서초구-뒷벌어린이공원-1,뒷벌어린이공원,1.17E+18,서울특별시 서초구 방배동 821-1,,서울특별시 서초구 방배중앙로 121,126.9869885,37.4905411,공원명,,,,,,,,,,,,,,,,,,,
성동구-상원어린이공원-1,상원어린이공원,,서울특별시 성동구 성수동1가 715,,서울특별시 성동구 상원길 47,127.0474974,37.54750171,공원명,,,,,,,,,,,,,,,,,,,
성동구-살곶이공원-4,살곶이공원,1.12E+18,서울특별시 성동구 사근동 104,,,127.0487778,37.55447222,공원명,,,,,,,,,,,,,,,,,,,
성동구-살곶이공원-3,살곶이공원,1.12E+18,서울특별시 성동구 사근동 104,,,127.0487778,37.55447222,공원명,,,,,,,,,,,,,,,,,,,
