Route_ID,TARGET_FID
청구아파트나들목_5km_중급,3342
청구아파트나들목_5km_중급,3553
청구아파트나들목_5km_중급,3973
청구아파트나들목_5km_중급,5640
청구아파트나들목_5km_중급,251
청구아파트나들목_5km_중급,2759
청구아파트나들목_5km_중급,3682
청구아파트나들목_5km_중급,7659
청구아파트나들목_5km_중급,3582
청구아파트나들목_5km_중급,8496
청구아파트나들목_5km_중급,1895
청구아파트나들목_5km_중급,7825
청구아파트나들목_5km_중급,8712
청구아파트나들목_5km_중급,3112
청구아파트나들목_5km_중급,6802
청구아파트나들목_5km_중급,7000
청구아파트나들목_5km_중급,6531
청구아파트나들목_5km_중급,9671
청구아파트나들목_5km_중급,4085
청구아파트나들목_5km_중급,3092
청구아파트나들목_5km_중급,8819
청구아파트나들목_5km_중급,9606
청구아파트나들목_5km_중급,8343
청구아파트나들목_5km_중급,1214
청구아파트나들목_5km_중급,5921
청구아파트나들목_5km_중급,6975
청구아파트나들목_5km_중급,7159
청구아파트나들목_5km_중급,8318
청구아파트나들목_5km_중급,1363
청구아파트나들목_5km_중급,4440
청구아파트나들목_5km_중급,73
청구아파트나들목_5km_중급,4380
청구아파트나들목_5km_중급,4248
청구아파트나들목_5km_중급,2265
청구아파트나들목_5km_중급,3664
송정체육공원_3km_초급,5132
송정체육공원_3km_초급,2645
송정체육공원_3km_초급,6715
송정체육공원_3km_초급,3676
송정체육공원_3km_초급,430
송정체육공원_3km_초급,7726
송정체육공원_3km_초급,1181
송정체육공원_3km_초급,5915
송정체육공원_3km_초급,7476
송정체육공원_3km_초급,5119
송정체육공원_3km_초급,668
송정체육공원_3km_초급,6628
송정체육공원_3km_초급,7431
송정체육공원_3km_초급,6928
송정체육공원_3km_초급,6723
송정체육공원_3km_초급,915
송정체육공원_3km_초급,398
송정체육공원_3km_초급,6516
송정체육공원_3km_초급,4588
송정체육공원_3km_초급,29
송정체육공원_3km_초급,3464
송정체육공원_3km_초급,3455
송정체육공원_3km_초급,6825
송정체육공원_3km_초급,2695
송정체육공원_3km_초급,7454
송정체육공원_3km_초급,6864
송정체육공원_3km_초급,2030
송정체육공원_3km_초급,2546
송정체육공원_3km_초급,4067
송정체육공원_3km_초급,3397
송정체육공원_3km_초급,9047
송정체육공원_3km_초급,8462
송정체육공원_3km_초급,399
송정체육공원_3km_초급,4982
송정체육공원_3km_초급,4297
송정체육공원_3km_초급,4167
송정체육공원_3km_초급,1276
송정체육공원_3km_초급,6314
송정체육공원_3km_초급,9144
